CustomerID,City,Zip Code,Tenure Months,Contract,Internet Service,Payment Method,Monthly Charges,Total Charges,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,prob_stay,prob_churn,churn_risk_pct,risk_band
0042-RLHYP,Eureka,95503,69,Two year,No,Bank transfer (automatic),19.7,1396.9,No,No,No,No,No,No,0.998324741442881,0.0016752585571189887,0.2,Very low
0048-LUMLS,Moss Beach,94038,37,One year,Fiber optic,Credit card (automatic),91.2,3247.55,No,No,No,No,Yes,Yes,0.9313607181128604,0.06863928188713965,6.9,Very low
0048-PIHNL,Los Angeles,90058,49,One year,No,Bank transfer (automatic),20.45,900.9,No,No,No,No,No,No,0.9715585741212386,0.028441425878761376,2.8,Very low
0052-DCKON,Los Angeles,90063,66,One year,Fiber optic,Bank transfer (automatic),115.8,7942.15,Yes,Yes,Yes,Yes,Yes,Yes,0.9167667784197804,0.08323322158021967,8.3,Very low
0052-YNYOT,Calexico,92231,67,One year,No,Electronic check,20.55,1343.4,No,No,No,No,No,No,0.9828501437470655,0.017149856252934515,1.7,Very low
0056-EPFBG,Redding,96003,20,Two year,DSL,Credit card (automatic),39.4,825.4,Yes,No,Yes,Yes,No,No,0.9802440664097394,0.019755933590260635,2.0,Very low
0057-QBUQH,San Martin,95046,43,Two year,No,Electronic check,25.1,1070.15,No,No,No,No,No,No,0.9912516928481125,0.008748307151887446,0.9,Very low
0058-EVZWM,Stockton,95209,55,Month-to-month,Fiber optic,Bank transfer (automatic),89.8,4959.6,Yes,No,No,No,Yes,No,0.6809306494380651,0.3190693505619348,31.9,Medium
0060-FUALY,Los Angeles,90003,59,Month-to-month,Fiber optic,Electronic check,94.75,5597.65,Yes,Yes,No,No,Yes,No,0.6521885519251447,0.34781144807485526,34.8,Medium
0064-SUDOG,Huntington Park,90255,12,Two year,No,Bank transfer (automatic),20.3,224.5,No,No,No,No,No,No,0.9887119127689619,0.011288087231038137,1.1,Very low
0064-YIJGF,Yermo,92398,27,Month-to-month,Fiber optic,Bank transfer (automatic),75.75,1929.0,No,No,No,No,No,No,0.7929830088419703,0.2070169911580297,20.7,Low
0068-FIGTF,Fremont,94539,27,One year,DSL,Mailed check,78.2,2078.95,No,Yes,Yes,Yes,Yes,Yes,0.8931183479927693,0.10688165200723067,10.7,Low
0071-NDAFP,Santa Rosa,95405,25,Two year,No,Credit card (automatic),25.5,630.6,No,No,No,No,No,No,0.9901179064296175,0.009882093570382477,1.0,Very low
0074-HDKDG,San Jose,95126,25,One year,DSL,Bank transfer (automatic),61.6,1611.0,Yes,Yes,Yes,No,No,No,0.8900381782620549,0.10996182173794515,11.0,Low
0076-LVEPS,Tujunga,91042,29,Month-to-month,DSL,Mailed check,45.0,1242.45,Yes,Yes,Yes,Yes,No,No,0.9586847654110653,0.04131523458893467,4.1,Very low
0078-XZMHT,Visalia,93291,72,Two year,DSL,Bank transfer (automatic),85.15,6316.2,No,Yes,Yes,Yes,Yes,Yes,0.9646843515287831,0.0353156484712169,3.5,Very low
0080-EMYVY,Lodi,95240,14,One year,DSL,Credit card (automatic),51.45,727.85,No,Yes,No,No,No,No,0.8848749173183279,0.11512508268167211,11.5,Low
0080-OROZO,El Portal,95318,35,One year,Fiber optic,Electronic check,99.25,3532.0,No,No,Yes,Yes,Yes,Yes,0.6885419357472949,0.31145806425270506,31.1,Medium
0082-LDZUE,Calistoga,94515,1,Month-to-month,DSL,Mailed check,44.3,44.3,No,No,No,No,No,No,0.5594347865190121,0.4405652134809878,44.1,Medium
0082-OQIQY,Farmington,95230,29,Month-to-month,Fiber optic,Electronic check,94.2,2607.6,No,No,No,Yes,Yes,Yes,0.45600337878971753,0.5439966212102825,54.4,High
0083-PIVIK,Tulelake,96134,64,One year,DSL,Electronic check,81.25,5567.55,Yes,Yes,Yes,Yes,Yes,No,0.9668686306064734,0.033131369393526566,3.3,Very low
0089-IIQKO,Coleville,96107,39,Month-to-month,Fiber optic,Credit card (automatic),99.95,3767.4,No,No,No,Yes,Yes,Yes,0.8310976705454935,0.16890232945450642,16.9,Low
0093-EXYQL,Ojai,93023,40,Month-to-month,Fiber optic,Electronic check,91.55,3673.6,No,No,No,No,Yes,Yes,0.46270074598519473,0.5372992540148053,53.7,High
0096-BXERS,Inverness,94937,6,Month-to-month,DSL,Electronic check,50.35,314.55,No,No,No,No,No,No,0.46988446685118546,0.5301155331488145,53.0,High
0096-FCPUF,Santa Rosa,95404,30,Month-to-month,DSL,Mailed check,64.5,1888.45,Yes,No,No,No,No,Yes,0.7261241557276155,0.2738758442723846,27.4,Medium
0098-BOWSO,San Jose,95131,27,Month-to-month,No,Electronic check,19.4,529.8,No,No,No,No,No,No,0.8318586919823113,0.16814130801768865,16.8,Low
0100-DUVFC,Wilmington,90744,70,One year,Fiber optic,Electronic check,104.8,7308.95,No,Yes,Yes,No,Yes,Yes,0.7467092773850301,0.2532907226149699,25.3,Medium
0103-CSITQ,Modesto,95357,57,One year,Fiber optic,Bank transfer (automatic),109.4,6252.7,No,Yes,Yes,Yes,Yes,Yes,0.800085026354431,0.199914973645569,20.0,Low
0104-PPXDV,San Diego,92113,58,One year,DSL,Credit card (automatic),50.3,2878.55,No,No,Yes,No,No,No,0.9582817114657657,0.04171828853423434,4.2,Very low
0106-GHRQR,Rancho Palos Verdes,90275,16,Month-to-month,DSL,Bank transfer (automatic),71.4,1212.1,No,Yes,Yes,No,No,Yes,0.5891843270980311,0.41081567290196885,41.1,Medium
0106-UGRDO,Kenwood,95452,69,Two year,Fiber optic,Electronic check,116.0,8182.85,Yes,Yes,Yes,Yes,Yes,Yes,0.9133123961284645,0.08668760387153553,8.7,Very low
0111-KLBQG,Morongo Valley,92256,32,Month-to-month,Fiber optic,Mailed check,93.95,2861.45,No,Yes,No,No,Yes,Yes,0.7829912998738765,0.21700870012612353,21.7,Low
0112-QAWRZ,Palo Verde,92266,16,Month-to-month,Fiber optic,Bank transfer (automatic),90.8,1442.2,No,No,Yes,No,Yes,No,0.6685989881141663,0.33140101188583376,33.1,Medium
0114-IGABW,Cambria,93428,71,Two year,DSL,Bank transfer (automatic),58.25,4145.9,No,Yes,Yes,Yes,Yes,Yes,0.9706590300261455,0.029340969973854512,2.9,Very low
0114-PEGZZ,Round Mountain,96084,33,Month-to-month,Fiber optic,Electronic check,107.55,3645.5,No,Yes,Yes,No,Yes,Yes,0.4444953299119758,0.5555046700880242,55.6,High
0114-RSRRW,Klamath,95548,10,Month-to-month,No,Bank transfer (automatic),19.95,187.75,No,No,No,No,No,No,0.7557423195095881,0.24425768049041185,24.4,Low
0118-JPNOY,Le Grand,95333,26,Month-to-month,Fiber optic,Credit card (automatic),85.8,2193.65,Yes,No,No,No,Yes,No,0.6079836147977455,0.3920163852022544,39.2,Medium
0121-SNYRK,Redway,95560,50,One year,DSL,Mailed check,35.4,1748.9,Yes,No,No,Yes,No,No,0.9447487068190132,0.055251293180986795,5.5,Very low
0123-CRBRT,Monterey Park,91755,61,Two year,DSL,Mailed check,88.1,5526.75,Yes,Yes,Yes,Yes,Yes,Yes,0.9728072931440955,0.02719270685590449,2.7,Very low
0128-MKWSG,Stevenson Ranch,91381,26,Month-to-month,DSL,Mailed check,45.8,1147.0,Yes,No,No,Yes,No,Yes,0.9534954583566148,0.046504541643385265,4.7,Very low
0129-KPTWJ,North Highlands,95660,72,Month-to-month,Fiber optic,Electronic check,94.65,6747.35,No,No,Yes,No,Yes,Yes,0.6616863610101712,0.3383136389898288,33.8,Medium
0129-QMPDR,La Puente,91746,44,One year,No,Bank transfer (automatic),20.5,865.05,No,No,No,No,No,No,0.9522598089912784,0.047740191008721566,4.8,Very low
0130-SXOUN,Glenhaven,95443,66,Month-to-month,Fiber optic,Credit card (automatic),89.4,5976.9,No,Yes,No,No,No,Yes,0.8275601729989883,0.17243982700101163,17.2,Low
0134-XWXCE,Santa Monica,90403,44,One year,DSL,Bank transfer (automatic),74.85,3268.05,No,No,Yes,Yes,Yes,Yes,0.9348860818115968,0.06511391818840317,6.5,Very low
0136-IFMYD,Los Angeles,90001,69,Two year,Fiber optic,Electronic check,109.95,7634.25,No,Yes,Yes,Yes,Yes,Yes,0.875423047839362,0.124576952160638,12.5,Low
0139-IVFJG,Inyokern,93527,2,Month-to-month,Fiber optic,Electronic check,90.35,190.5,Yes,Yes,No,No,Yes,No,0.35628858511902606,0.6437114148809739,64.4,High
0141-YEAYS,Lone Pine,93545,27,Month-to-month,Fiber optic,Bank transfer (automatic),86.45,2401.05,No,Yes,Yes,No,No,No,0.5313373262993932,0.4686626737006067,46.9,High
0142-GVYSN,Randsburg,93554,26,Month-to-month,No,Electronic check,20.3,511.25,No,No,No,No,No,No,0.8271008646503942,0.17289913534960577,17.3,Low
0147-ESWWR,Atascadero,93422,39,Month-to-month,Fiber optic,Electronic check,101.25,3949.15,No,No,No,Yes,Yes,Yes,0.3840111406413176,0.6159888593586824,61.6,High
0164-APGRB,Calistoga,94515,72,Two year,Fiber optic,Electronic check,114.9,8496.7,Yes,Yes,Yes,Yes,Yes,Yes,0.9392741462026293,0.060725853797370694,6.1,Very low
0164-XAIRP,La Mirada,90638,24,Two year,No,Bank transfer (automatic),19.55,470.2,No,No,No,No,No,No,0.9602475717356753,0.03975242826432467,4.0,Very low
0168-XZKBB,Boron,93516,19,Month-to-month,Fiber optic,Electronic check,86.85,1564.4,No,No,No,No,Yes,No,0.23276927285054327,0.7672307271494567,76.7,Very high
0174-QRVVY,San Marcos,92078,71,Two year,No,Credit card (automatic),25.35,1847.55,No,No,No,No,No,No,0.9978806416876521,0.0021193583123479084,0.2,Very low
0177-PXBAT,Desert Center,92239,33,Month-to-month,Fiber optic,Bank transfer (automatic),109.9,3694.7,Yes,No,Yes,Yes,Yes,Yes,0.5175610502621312,0.4824389497378688,48.2,High
0178-CIIKR,Crows Landing,95313,3,Month-to-month,No,Mailed check,19.95,58.0,No,No,No,No,No,No,0.8074994828328951,0.19250051716710492,19.3,Low
0178-SZBHO,Tuolumne,95379,47,Month-to-month,Fiber optic,Electronic check,87.2,4017.45,No,Yes,No,No,Yes,No,0.8601882207581093,0.13981177924189073,14.0,Low
0181-RITDD,San Diego,92120,62,Two year,Fiber optic,Mailed check,108.15,6825.65,Yes,Yes,Yes,Yes,Yes,Yes,0.9909345284994475,0.009065471500552516,0.9,Very low
0186-CAERR,Auburn,95603,71,One year,Fiber optic,Bank transfer (automatic),116.3,8309.55,Yes,Yes,Yes,Yes,Yes,Yes,0.9237944431203675,0.07620555687963247,7.6,Very low
0187-QSXOE,Fresno,93725,7,Month-to-month,Fiber optic,Electronic check,89.0,605.45,No,No,No,No,Yes,Yes,0.17407406614472765,0.8259259338552724,82.6,Very high
0187-WZNAB,Del Rey,93616,27,Month-to-month,Fiber optic,Mailed check,74.4,1972.35,Yes,No,No,No,No,No,0.9108997589181247,0.08910024108187528,8.9,Very low
0188-GWFLE,Redwood City,94065,2,Month-to-month,No,Mailed check,20.05,33.7,No,No,No,No,No,No,0.7999229118288916,0.20007708817110834,20.0,Low
0191-EQUUH,Landers,92285,25,Two year,DSL,Bank transfer (automatic),35.05,844.45,Yes,No,No,Yes,No,No,0.9905542942452192,0.009445705754780783,0.9,Very low
0191-ZHSKZ,Hawthorne,90250,30,Month-to-month,DSL,Electronic check,74.75,2111.3,Yes,Yes,No,No,Yes,Yes,0.6982989043115583,0.3017010956884417,30.2,Medium
0196-JTUQI,Clarksburg,95612,9,Month-to-month,Fiber optic,Credit card (automatic),75.2,633.85,No,No,No,No,No,No,0.37025216937557304,0.629747830624427,63.0,High
0197-PNKNK,Scotts Valley,95066,69,One year,Fiber optic,Bank transfer (automatic),84.45,5848.6,Yes,No,Yes,No,No,No,0.9859057793323139,0.014094220667686043,1.4,Very low
0201-MIBOL,Salida,95368,66,Two year,Fiber optic,Bank transfer (automatic),102.4,6471.85,Yes,No,No,No,Yes,Yes,0.9186456807573817,0.08135431924261831,8.1,Very low
0206-OYVOC,Huntington Beach,92649,46,Two year,No,Mailed check,19.25,864.2,No,No,No,No,No,No,0.9943046301573755,0.005695369842624503,0.6,Very low
0206-TBWLC,Calimesa,92320,54,One year,Fiber optic,Mailed check,114.65,6049.5,Yes,Yes,Yes,Yes,Yes,Yes,0.8257660086585272,0.17423399134147274,17.4,Low
0208-BPQEJ,Middletown,95461,12,Month-to-month,No,Bank transfer (automatic),19.4,198.1,No,No,No,No,No,No,0.9597521204943467,0.04024787950565339,4.0,Very low
0212-ISBBF,Berkeley,94705,22,Month-to-month,DSL,Electronic check,50.35,1098.85,No,Yes,No,No,Yes,Yes,0.4381530107434738,0.5618469892565262,56.2,High
0214-JHPFW,Lost Hills,93249,70,Two year,DSL,Bank transfer (automatic),57.8,4039.3,No,Yes,Yes,Yes,Yes,Yes,0.9696856527185631,0.030314347281436872,3.0,Very low
0215-BQKGS,Garden Grove,92844,30,Month-to-month,Fiber optic,Credit card (automatic),84.3,2438.6,Yes,Yes,Yes,No,No,No,0.7306452778051034,0.2693547221948966,26.9,Medium
0218-QNVAS,Indio,92203,71,One year,Fiber optic,Bank transfer (automatic),100.55,7113.75,No,Yes,No,No,Yes,Yes,0.9696305234547754,0.03036947654522464,3.0,Very low
0219-QAERP,Oxnard,93033,30,One year,No,Credit card (automatic),19.8,576.65,No,No,No,No,No,No,0.9493532047471892,0.05064679525281084,5.1,Very low
0221-NAUXK,Moreno Valley,92553,10,One year,No,Bank transfer (automatic),19.95,219.5,No,No,No,No,No,No,0.9770637026431973,0.022936297356802724,2.3,Very low
0221-WMXNQ,Chino,91710,4,Month-to-month,Fiber optic,Electronic check,75.35,273.4,Yes,No,No,No,No,No,0.47642749988436106,0.5235725001156389,52.4,High
0222-CNVPT,Sacramento,95820,52,Month-to-month,DSL,Credit card (automatic),48.8,2555.05,Yes,No,No,No,Yes,Yes,0.8037820823430694,0.19621791765693067,19.6,Low
0224-NIJLP,Turlock,95380,8,Two year,No,Mailed check,20.15,165.5,No,No,No,No,No,No,0.9855868457824719,0.014413154217528059,1.4,Very low
0224-RLWWD,Calexico,92231,2,Month-to-month,DSL,Electronic check,44.3,89.3,No,No,No,No,No,No,0.4980947317455753,0.5019052682544247,50.2,High
0225-ZORZP,Groveland,95321,3,Month-to-month,Fiber optic,Electronic check,84.3,235.05,No,Yes,No,No,No,Yes,0.34670967389958196,0.653290326100418,65.3,Very high
0228-MAUWC,Los Gatos,95033,19,Month-to-month,DSL,Electronic check,59.55,1144.6,No,No,Yes,Yes,No,No,0.7191280303203498,0.2808719696796503,28.1,Medium
0229-LFJAF,Clovis,93611,72,Two year,DSL,Bank transfer (automatic),69.65,4908.25,Yes,Yes,Yes,Yes,No,No,0.9923930564371323,0.007606943562867716,0.8,Very low
0230-UBYPQ,Hyampom,96046,63,One year,DSL,Bank transfer (automatic),36.1,2298.9,Yes,No,No,Yes,No,No,0.9684866331461303,0.03151336685386969,3.2,Very low
0230-WEQUW,Woodland Hills,91364,66,Two year,DSL,Bank transfer (automatic),56.6,3789.2,Yes,Yes,Yes,Yes,Yes,No,0.973292157806444,0.026707842193556017,2.7,Very low
0233-FTHAV,Livingston,95334,60,One year,Fiber optic,Bank transfer (automatic),79.2,4765.0,No,No,Yes,No,No,No,0.8681403599714852,0.13185964002851483,13.2,Low
0234-TEVTT,Tulare,93274,48,One year,DSL,Credit card (automatic),45.0,2196.3,Yes,No,Yes,No,No,Yes,0.9828363816940986,0.017163618305901386,1.7,Very low
0237-YFUTL,Midway City,92655,50,Month-to-month,Fiber optic,Bank transfer (automatic),109.65,5405.8,Yes,Yes,No,Yes,Yes,Yes,0.6827498293721856,0.3172501706278143,31.7,Medium
0238-WHBIQ,Folsom,95630,72,Two year,DSL,Credit card (automatic),89.7,6339.3,Yes,Yes,Yes,Yes,Yes,Yes,0.9966796019729229,0.0033203980270770637,0.3,Very low
0239-OXEXL,Oakland,94619,46,Month-to-month,Fiber optic,Mailed check,84.25,3847.6,Yes,Yes,No,No,No,No,0.8010320977209235,0.1989679022790764,19.9,Low
0244-LGNFY,San Anselmo,94960,72,Two year,DSL,Bank transfer (automatic),92.65,6733.0,Yes,Yes,Yes,Yes,Yes,Yes,0.996547996574436,0.003452003425563969,0.3,Very low
0247-SLUJI,Duarte,91010,1,Month-to-month,No,Mailed check,19.7,19.7,No,No,No,No,No,No,0.9363494973740398,0.06365050262596017,6.4,Very low
0248-IPDFW,Lake Elsinore,92530,1,Month-to-month,DSL,Electronic check,50.1,50.1,No,No,No,No,No,No,0.41067993815444825,0.5893200618455517,58.9,High
0248-PGHBZ,San Clemente,92672,67,Two year,Fiber optic,Bank transfer (automatic),92.45,6140.85,Yes,Yes,No,Yes,Yes,No,0.9709260373528705,0.029073962647129446,2.9,Very low
0253-ZTEOB,Los Angeles,90004,48,Two year,DSL,Electronic check,79.65,3870.3,No,Yes,No,Yes,Yes,Yes,0.9836803864133183,0.016319613586681686,1.6,Very low
0254-FNMCI,Downey,90241,72,Two year,Fiber optic,Electronic check,109.9,7624.2,Yes,Yes,Yes,Yes,Yes,Yes,0.9560858013328116,0.043914198667188424,4.4,Very low
0254-KCJGT,Bodega Bay,94923,52,One year,DSL,Credit card (automatic),81.4,4354.45,Yes,Yes,Yes,Yes,No,Yes,0.9416013752181208,0.058398624781879155,5.8,Very low
0254-WWRKD,Challenge,95925,67,One year,DSL,Credit card (automatic),50.55,3431.75,No,Yes,No,No,No,No,0.9942838847467984,0.005716115253201628,0.6,Very low
0257-KXZGU,Santa Clara,95051,32,Month-to-month,DSL,Bank transfer (automatic),62.45,2045.55,No,Yes,Yes,No,No,No,0.9464012819708788,0.05359871802912121,5.4,Very low
0258-NOKBL,Fortuna,95540,3,Month-to-month,Fiber optic,Electronic check,90.4,268.45,No,Yes,Yes,No,No,Yes,0.35109224267103456,0.6489077573289654,64.9,High
0263-FJTQO,Rescue,95672,50,Two year,DSL,Credit card (automatic),70.5,3486.65,Yes,No,No,Yes,Yes,No,0.9914095593426304,0.00859044065736956,0.9,Very low
0264-CNITK,Clio,96106,71,Two year,No,Bank transfer (automatic),20.1,1389.6,No,No,No,No,No,No,0.998433572788873,0.001566427211126942,0.2,Very low
0265-PSUAE,Lotus,95651,16,Month-to-month,Fiber optic,Bank transfer (automatic),100.7,1522.7,Yes,No,Yes,No,Yes,Yes,0.8199519496190666,0.18004805038093344,18.0,Low
0266-CLZKZ,San Marcos,92078,67,Two year,Fiber optic,Bank transfer (automatic),105.65,6717.9,No,No,Yes,Yes,Yes,Yes,0.9781672822471115,0.021832717752888576,2.2,Very low
0266-GMEAO,Lompoc,93436,72,Two year,Fiber optic,Credit card (automatic),114.3,8058.55,Yes,Yes,Yes,Yes,Yes,Yes,0.9888521806826434,0.011147819317356618,1.1,Very low
0269-XFESX,San Francisco,94133,23,One year,No,Mailed check,24.35,538.5,No,No,No,No,No,No,0.9785639789263773,0.021436021073622753,2.1,Very low
0270-THENM,Mission Hills,91345,72,Two year,DSL,Bank transfer (automatic),69.85,5102.35,Yes,Yes,Yes,Yes,No,No,0.9979897147198671,0.002010285280132927,0.2,Very low
0274-JKUJR,Los Angeles,90040,7,Month-to-month,DSL,Mailed check,58.85,465.7,Yes,Yes,Yes,No,Yes,Yes,0.829856873149946,0.17014312685005395,17.0,Low
0277-BKSQP,Harbor City,90710,8,Month-to-month,DSL,Electronic check,54.4,475.1,No,No,No,No,Yes,No,0.7769202763460474,0.22307972365395262,22.3,Low
0277-ORXQS,San Francisco,94108,66,Two year,DSL,Bank transfer (automatic),50.55,3364.55,No,No,No,Yes,Yes,Yes,0.9919128119246715,0.00808718807532849,0.8,Very low
0281-CNTZX,Pescadero,94060,63,Two year,No,Bank transfer (automatic),19.95,1234.8,No,No,No,No,No,No,0.9852117031021835,0.014788296897816413,1.5,Very low
0282-NVSJS,Aromas,95004,12,Month-to-month,DSL,Mailed check,29.3,355.9,No,No,No,Yes,No,No,0.856521940035261,0.14347805996473895,14.3,Low
0285-INHLN,Badger,93603,27,Month-to-month,DSL,Credit card (automatic),54.75,1510.3,Yes,Yes,No,No,No,No,0.9559650985528998,0.04403490144710022,4.4,Very low
0289-IVARM,Parlier,93648,35,Month-to-month,DSL,Electronic check,60.55,1982.6,Yes,Yes,Yes,No,No,No,0.8781456482852823,0.12185435171471773,12.2,Low
0292-WEGCH,Death Valley,92328,54,Month-to-month,DSL,Electronic check,86.2,4524.05,No,Yes,Yes,Yes,Yes,Yes,0.9348457817583415,0.06515421824165843,6.5,Very low
0295-QVKPB,Riverdale,93656,5,Month-to-month,DSL,Credit card (automatic),63.95,318.1,No,No,Yes,Yes,Yes,No,0.6433193883604909,0.35668061163950915,35.7,Medium
0297-RBCSG,San Francisco,94104,19,One year,DSL,Bank transfer (automatic),65.35,1231.85,No,Yes,No,Yes,No,Yes,0.8645735048313186,0.13542649516868144,13.5,Low
0298-XACET,Berry Creek,95916,52,Two year,DSL,Mailed check,50.2,2554.0,No,Yes,Yes,Yes,Yes,No,0.9903625144937033,0.009637485506296698,1.0,Very low
0301-FIDRB,Fulton,95439,72,Two year,DSL,Bank transfer (automatic),63.8,4684.3,Yes,Yes,Yes,Yes,Yes,Yes,0.9943211068010346,0.005678893198965446,0.6,Very low
0301-KOBTQ,Capitola,95010,32,Two year,No,Bank transfer (automatic),20.05,614.45,No,No,No,No,No,No,0.9689087944204944,0.031091205579505607,3.1,Very low
0303-UNCIP,Claremont,91711,41,One year,DSL,Mailed check,65.0,2531.8,No,No,Yes,No,No,Yes,0.8894753988139779,0.1105246011860221,11.1,Low
0303-WMMRN,Glendale,91207,5,Month-to-month,No,Mailed check,19.25,86.05,No,No,No,No,No,No,0.7560842802946621,0.24391571970533787,24.4,Low
0305-SQECB,Gardena,90248,11,One year,DSL,Mailed check,36.05,402.6,Yes,No,No,Yes,No,No,0.9593374567133719,0.040662543286628085,4.1,Very low
0307-BCOPK,San Francisco,94134,16,One year,No,Mailed check,19.05,326.65,No,No,No,No,No,No,0.9312077504971346,0.06879224950286549,6.9,Very low
0308-GIQJT,San Diego,92126,71,One year,Fiber optic,Bank transfer (automatic),105.75,7382.85,No,Yes,No,Yes,Yes,Yes,0.9198692666647906,0.08013073333520938,8.0,Very low
0308-IVGOK,Santa Ana,92703,11,One year,DSL,Credit card (automatic),40.4,422.6,No,Yes,Yes,Yes,No,No,0.8102093333520299,0.1897906666479701,19.0,Low
0310-SUCIN,Darwin,93522,71,One year,DSL,Bank transfer (automatic),84.8,6046.1,Yes,Yes,Yes,Yes,Yes,Yes,0.9686870274102165,0.03131297258978348,3.1,Very low
0310-VQXAM,San Bernardino,92404,9,Month-to-month,No,Mailed check,19.85,178.8,No,No,No,No,No,No,0.8349729167211457,0.16502708327885432,16.5,Low
0311-QYWSS,Garberville,95542,6,Month-to-month,DSL,Electronic check,49.45,314.6,Yes,No,No,No,No,No,0.6265698518535439,0.3734301481464562,37.3,Medium
0314-TKOSI,Upland,91784,6,Month-to-month,DSL,Mailed check,55.15,322.9,Yes,Yes,No,No,No,No,0.7777649722695616,0.2222350277304383,22.2,Low
0315-LVCRK,El Dorado Hills,95762,11,Month-to-month,Fiber optic,Electronic check,84.8,888.75,No,No,Yes,No,No,Yes,0.38880449448076493,0.6111955055192351,61.1,High
0318-ZOPWS,Malibu,90265,49,Two year,No,Bank transfer (automatic),20.15,973.35,No,No,No,No,No,No,0.9768526987812887,0.02314730121871138,2.3,Very low
0319-QZTCO,Santa Rosa,95401,3,Month-to-month,DSL,Credit card (automatic),58.7,168.6,No,Yes,No,No,Yes,No,0.8355884167407502,0.16441158325924976,16.4,Low
0320-DWVTU,Riverdale,93656,53,Two year,Fiber optic,Mailed check,99.5,5424.25,Yes,Yes,Yes,Yes,No,Yes,0.9664244421623389,0.033575557837661044,3.4,Very low
