CustomerID,City,Zip Code,Tenure Months,Contract,Internet Service,Payment Method,Monthly Charges,Total Charges,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,prob_stay,prob_churn
9903-LYSAB,Studio City,91604,18,Month-to-month,Fiber optic,Electronic check,73.15,1305.95,No,No,No,No,No,No,0.278810766653381,0.721189233346619
4395-PZMSN,San Gregorio,94074,5,Month-to-month,Fiber optic,Electronic check,85.55,408.5,No,Yes,No,No,No,Yes,0.2801669731166493,0.7198330268833507
6851-WEFYX,Descanso,91916,35,Month-to-month,Fiber optic,Electronic check,100.8,3437.5,No,No,Yes,No,Yes,Yes,0.28136601441232056,0.7186339855876794
6116-RFVHN,Roseville,95747,34,Month-to-month,Fiber optic,Electronic check,100.45,3414.65,No,No,Yes,No,Yes,Yes,0.2819182086688147,0.7180817913311853
2081-VEYEH,Compton,90221,3,Month-to-month,Fiber optic,Electronic check,107.95,318.6,No,Yes,Yes,Yes,Yes,Yes,0.2840288010390807,0.7159711989609193
1200-TUZHR,Posey,93260,8,Month-to-month,Fiber optic,Electronic check,85.2,695.75,No,No,No,No,No,Yes,0.28454861189695724,0.7154513881030428
9603-OAIHC,Palmdale,93551,1,Month-to-month,Fiber optic,Electronic check,70.05,70.05,No,No,No,No,No,No,0.2851016623970377,0.7148983376029623
6856-RAURS,Rio Oso,95674,2,Month-to-month,Fiber optic,Mailed check,74.9,136.05,No,No,No,No,No,No,0.2852401534799278,0.7147598465200722
2688-BHGOG,Olancha,93549,9,Month-to-month,Fiber optic,Electronic check,79.55,718.55,No,No,No,No,No,Yes,0.2857143323739777,0.7142856676260223
2235-DWLJU,Thousand Palms,92276,6,Month-to-month,DSL,Electronic check,44.4,263.05,No,No,No,No,Yes,Yes,0.28575576964785177,0.7142442303521482
8875-AKBYH,Mineral,96063,20,Month-to-month,Fiber optic,Electronic check,84.35,1745.2,No,No,No,No,Yes,No,0.2865054699023615,0.7134945300976385
2984-AFWNC,Rough And Ready,95975,3,Month-to-month,Fiber optic,Electronic check,95.4,293.15,No,Yes,No,No,Yes,Yes,0.28709294345660596,0.712907056543394
9121-PHQSR,Stratford,93266,16,Month-to-month,Fiber optic,Credit card (automatic),85.05,1391.15,No,No,No,No,Yes,No,0.2879253397812215,0.7120746602187785
3878-AVSOQ,La Jolla,92037,1,Month-to-month,Fiber optic,Electronic check,71.25,71.25,No,No,No,No,No,No,0.28804394049935356,0.7119560595006464
9605-WGJVW,Stockton,95204,1,Month-to-month,Fiber optic,Electronic check,70.2,70.2,No,No,No,No,No,No,0.28804394049935356,0.7119560595006464
0396-YCHWO,Sacramento,95829,36,Month-to-month,Fiber optic,Electronic check,95.4,3474.2,No,No,No,No,Yes,Yes,0.2887688407923882,0.7112311592076118
4633-MKHYU,San Diego,92109,9,Month-to-month,Fiber optic,Mailed check,88.4,788.6,No,No,No,No,Yes,Yes,0.28950668867317,0.71049331132683
5542-TBBWB,Lakeport,95453,1,Month-to-month,Fiber optic,Electronic check,69.9,69.9,No,No,No,No,No,No,0.2896021683282817,0.7103978316717183
7465-ZZRVX,Ceres,95307,1,Month-to-month,Fiber optic,Electronic check,70.35,70.35,No,No,No,No,No,No,0.2896021683282817,0.7103978316717183
4521-YEEHE,Anaheim,92805,18,Month-to-month,Fiber optic,Electronic check,88.85,1594.75,No,No,No,Yes,Yes,No,0.29092447670818256,0.7090755232918174
4566-NECEV,Palos Verdes Peninsula,90274,5,Month-to-month,Fiber optic,Electronic check,96.55,500.1,No,Yes,Yes,No,No,Yes,0.2913503979844769,0.7086496020155231
1640-PLFMP,Los Angeles,90026,1,Month-to-month,Fiber optic,Electronic check,70.25,70.25,No,No,No,No,No,No,0.29257188423188285,0.7074281157681171
0722-SVSFK,Half Moon Bay,94019,7,Month-to-month,Fiber optic,Electronic check,100.4,715.0,No,No,Yes,Yes,Yes,Yes,0.29259169453619893,0.7074083054638011
8313-NDOIA,Green Valley Lake,92341,24,Month-to-month,Fiber optic,Electronic check,104.15,2494.65,No,Yes,Yes,No,Yes,Yes,0.2929509283835108,0.7070490716164892
5117-IFGPS,Tahoe City,96145,29,Month-to-month,Fiber optic,Electronic check,84.3,2357.75,No,No,No,No,No,Yes,0.2955825407177103,0.7044174592822897
7206-PQBBZ,Fontana,92336,11,Month-to-month,Fiber optic,Electronic check,70.2,834.7,No,No,No,No,No,No,0.2960975644189836,0.7039024355810164
2897-DOVND,Winterhaven,92283,2,Month-to-month,Fiber optic,Electronic check,69.8,146.65,No,No,No,No,No,No,0.2965716019610458,0.7034283980389542
9717-QEBGU,Leggett,95585,2,Month-to-month,Fiber optic,Electronic check,70.3,144.0,No,No,No,No,No,No,0.2965716019610458,0.7034283980389542
2665-NPTGL,Sheep Ranch,95250,26,Month-to-month,Fiber optic,Bank transfer (automatic),98.1,2510.7,No,No,Yes,No,Yes,Yes,0.2984042562614534,0.7015957437385466
4884-ZTHVF,Santa Cruz,95065,8,Month-to-month,Fiber optic,Electronic check,87.1,713.6,No,Yes,No,No,Yes,No,0.2988849394627048,0.7011150605372952
7394-LWLYN,Oakland,94610,2,Month-to-month,Fiber optic,Electronic check,70.15,123.8,No,No,No,No,No,No,0.2995826469165881,0.7004173530834119
4482-EWFMI,Arcadia,91006,2,Month-to-month,Fiber optic,Electronic check,69.7,135.2,No,No,No,No,No,No,0.2995826469165881,0.7004173530834119
5288-AHOUP,Palm Desert,92260,11,Month-to-month,Fiber optic,Electronic check,78.5,874.2,No,No,No,No,No,Yes,0.2996402918438431,0.7003597081561569
2254-DLXRI,Burbank,91504,1,Month-to-month,Fiber optic,Mailed check,79.15,79.15,No,Yes,No,No,No,No,0.30047448751440453,0.6995255124855955
5628-FCGYG,Riverside,92509,21,Month-to-month,Fiber optic,Electronic check,84.1,1737.45,No,No,No,No,No,Yes,0.30311458027498284,0.6968854197250172
0644-OQMDK,Merced,95348,4,Month-to-month,Fiber optic,Electronic check,70.65,293.85,No,No,No,No,No,No,0.30610854514616936,0.6938914548538306
1508-DFXCU,Riverside,92501,12,Month-to-month,Fiber optic,Electronic check,81.45,912.0,No,No,No,No,Yes,No,0.3062554717925614,0.6937445282074386
7823-JSOAG,Sonoma,95476,3,Month-to-month,Fiber optic,Electronic check,74.5,217.45,No,No,No,No,No,No,0.3065052760309709,0.6934947239690291
9633-XQABV,Los Banos,93635,3,Month-to-month,Fiber optic,Electronic check,70.25,229.7,No,No,No,No,No,No,0.3066885747267314,0.6933114252732686
7245-NIIWQ,Fellows,93224,3,Month-to-month,Fiber optic,Electronic check,69.85,199.85,No,No,No,No,No,No,0.3066885747267314,0.6933114252732686
6077-BDPXA,Merced,95340,3,Month-to-month,Fiber optic,Electronic check,70.15,194.2,No,No,No,No,No,No,0.3066885747267314,0.6933114252732686
5119-NZPTV,Sacramento,95823,2,Month-to-month,Fiber optic,Electronic check,70.1,141.65,No,No,No,No,No,No,0.30718651938350505,0.692813480616495
3629-ZNKXA,Seiad Valley,96086,17,Month-to-month,Fiber optic,Electronic check,101.8,1752.45,No,Yes,Yes,No,Yes,Yes,0.3076627863221225,0.6923372136778775
2754-SDJRD,Somis,93066,8,Month-to-month,Fiber optic,Credit card (automatic),100.15,908.55,No,No,No,Yes,Yes,Yes,0.3083624170992385,0.6916375829007615
5701-YVSVF,Fallbrook,92028,11,Month-to-month,Fiber optic,Electronic check,82.9,880.05,No,No,No,Yes,Yes,No,0.30864091750227607,0.6913590824977239
3370-HXOPH,Mountain View,94041,3,Month-to-month,Fiber optic,Electronic check,76.1,257.6,No,No,No,No,No,No,0.30957279058747866,0.6904272094125213
1028-FFNJK,Burbank,91504,30,Month-to-month,Fiber optic,Electronic check,101.5,2917.65,No,No,No,Yes,Yes,Yes,0.3122320374538017,0.6877679625461983
5216-WASFJ,Challenge,95925,31,Month-to-month,Fiber optic,Electronic check,84.85,2633.4,No,No,No,No,No,Yes,0.3128663925088462,0.6871336074911538
8873-GLDMH,Courtland,95615,6,Month-to-month,Fiber optic,Mailed check,73.85,401.3,No,No,No,No,No,No,0.31344620796751865,0.6865537920324813
9696-RMYBA,Los Angeles,90003,5,Month-to-month,Fiber optic,Mailed check,80.1,398.55,No,No,No,No,Yes,No,0.3141866659942877,0.6858133340057123
1251-STYSZ,Glenhaven,95443,4,Month-to-month,Fiber optic,Electronic check,80.25,303.7,Yes,No,No,No,No,No,0.3149146108785724,0.6850853891214276
3904-UKFRE,Stockton,95205,4,Month-to-month,Fiber optic,Electronic check,80.1,336.15,Yes,No,No,No,No,No,0.31655356907397636,0.6834464309260236
9279-CJEOJ,Anaheim,92801,21,Month-to-month,Fiber optic,Bank transfer (automatic),95.4,2025.1,No,No,No,No,Yes,Yes,0.3187881856220317,0.6812118143779683
0432-CAJZV,Onyx,93255,3,Month-to-month,Fiber optic,Mailed check,90.7,237.65,No,No,No,No,Yes,Yes,0.31894840777751665,0.6810515922224833
4770-UEZOX,Whitethorn,95589,2,Month-to-month,Fiber optic,Electronic check,74.75,144.8,No,Yes,No,No,No,No,0.3194148728185209,0.6805851271814791
0793-TWELN,Los Angeles,90026,4,Month-to-month,Fiber optic,Electronic check,80.15,319.85,Yes,No,No,No,No,No,0.3196752911684416,0.6803247088315584
1104-TNLZA,Klamath River,96050,28,Month-to-month,Fiber optic,Electronic check,105.8,2998.0,No,Yes,No,Yes,Yes,Yes,0.32087169037819496,0.679128309621805
0928-XUTSN,Brawley,92227,13,Month-to-month,Fiber optic,Electronic check,80.5,1011.8,No,No,No,No,No,Yes,0.3218324548843544,0.6781675451156456
2674-MIAHT,Blocksburg,95514,4,Month-to-month,Fiber optic,Mailed check,80.3,324.2,No,Yes,No,No,No,No,0.3221037232611712,0.6778962767388288
0848-ZGQIJ,Saratoga,95070,16,Month-to-month,Fiber optic,Bank transfer (automatic),94.65,1461.15,No,Yes,No,No,Yes,Yes,0.3231066226438686,0.6768933773561314
6267-DCFFZ,Madeline,96119,30,Month-to-month,Fiber optic,Electronic check,90.05,2627.2,No,Yes,No,No,Yes,No,0.32355835361016005,0.67644164638984
6435-SRWBJ,Los Angeles,90068,5,Month-to-month,Fiber optic,Electronic check,82.75,417.75,No,No,Yes,Yes,No,No,0.3239963946384157,0.6760036053615843
6198-ZFIOJ,Willits,95490,5,Month-to-month,Fiber optic,Electronic check,75.6,402.5,No,No,No,No,No,No,0.32413393045157113,0.6758660695484289
